neighborhoodId:ID,name
0,Grove Park
1,Inman Park
2,West End
3,Lenox
4,Ben Hill Terrace
5,Adair Park
6,Center Hill
7,Ben Hill
8,Midwest Cascade
9,East Atlanta
10,Kirkwood
11,Washington Park
12,Virginia Highland
13,South River Gardens
14,
15,Midtown
16,The Villages at Carver
17,Home Park
18,Pittsburgh
19,Hunter Hills
20,Princeton Lakes
21,Oakland City
22,Downtown
23,Lakewood Heights
24,Collier Heights
25,Bush Mountain
26,Sylvan Hills
27,Capitol Gateway
28,Mechanicsville
29,Campbellton Road
30,Fairburn Mays
31,Kings Forest
32,North Buckhead
33,Carey Park
34,Reynoldstown
35,Ben Hill Acres
36,Summerhill
37,Old Fourth Ward
38,Bankhead
39,Rockdale
40,East Chastain Park
41,Westwood Terrace
42,Grant Park
43,Ansley Park
44,Atlanta University Center
45,Sweet Auburn
46,Adams Park
47,South Atlanta
48,Hammond Park
49,Harland Terrace
50,Ben Hill Forest
51,Florida Heights
52,Mozley Park
53,Adamsville
54,Woodland Hills
55,West Highlands
56,Southwest
57,Poncey-Highland
58,Loring Heights
59,English Avenue
60,Westview
61,Berkeley Park
62,Lindbergh/Morosgo
63,West Lake
64,Tuxedo Park
65,Perkerson
66,Glenrose Heights
67,Ormewood Park
68,Vine City
69,Castleberry Hill
70,Greenbriar
71,Almond Park
72,Buckhead Forest
73,Venetian Hills
74,South Tuxedo Park
75,Butner/Tell
76,Buckhead Village
77,Pine Hills
78,Blandtown
79,Beecher Hills
80,Ardmore
81,East Lake
82,Fairburn Heights
83,Lindridge/Martin Manor
84,Morningside/Lenox Park
85,Atlantic Station
86,Capitol View
87,Piedmont Heights
88,Garden Hills
89,Horseshoe Community
90,Chosewood Park
91,Fort Valley
92,Edgewood
93,Thomasville Heights
94,Candler Park
95,Leila Valley
96,Boulevard Heights
97,West Paces Ferry/Northside
98,Lakewood
99,Bolton
100,Brentwood
101,Joyland
102,Norwood Manor
103,Browns Mill Park
104,Swallow Circle/Baywood
105,Amal Heights
106,Baker Hills
107,Buckhead Heights
108,Peoplestown
109,Sandlewood Estates
110,Dixie Hills
111,Brookwood
112,Custer/McDonough/Guice
113,Wisteria Gardens
114,Fairburn Tell
115,Riverside
116,The Villages at Castleberry H
117,Carver Hills
118,Ashley Courts
119,Ashview Heights
120,Hanover West
121,Carroll Heights
122,Underwood Hills
123,Cascade Avenue/Road
124,Brookhaven
125,Laurens Valley
126,Harris Chiles
127,Cabbagetown
128,Marietta Street Artery
129,Brandon
130,Peyton Forest
131,Peachtree Heights West
132,Hills Park
133,Channing Valley
134,Old Gordon
135,Betmar LaVilla
136,Argonne Forest
137,Oakland
138,Ben Hill Pines
139,Rosedale Heights
140,Wildwood (NPU-C)
141,The Villages at East Lake
142,West Manor
143,Westhaven
144,Deerwood
145,Paces
146,Whittier Mill Village
147,Brookwood Hills
148,Benteen Park
149,Penelope Neighbors
150,Peachtree Park
151,Lake Claire
152,Fairburn
153,Peachtree Battle Alliance
154,English Park
155,Heritage Valley
156,Cross Creek
157,Bankhead/Bolton
158,Niskey Lake
159,High Point
160,Scotts Crossing
161,Monroe Heights
162,Lincoln Homes
163,Atlanta Industrial Park
164,Brookview Heights
165,Wesley Battle
166,Bakers Ferry
167,Pleasant Hill
168,Polar Rock
169,Bolton Hills
170,Blair Villa/Poole Creek
171,Mays
172,Memorial Park
173,Peachtree Hills
174,Capitol View Manor
175,Harvel Homes Community
176,Orchard Knob
177,Knight Park/Howell Station
178,Cascade Heights
179,Mt. Gilead Woods
180,Fairburn Road/Wisteria Lane
181,Wildwood (NPU-H)
182,Wilson Mill Meadows
183,Druid Hills
184,Pomona Park
185,Peachtree Heights East
186,Niskey Cove
187,Ridgewood Heights
188,Randall Mill
189,Georgia Tech
190,Audobon Forest
191,Fairway Acres
192,Elmco Estates
193,Kingswood
194,Margaret Mitchell
195,Boulder Park
196,Chastain Park
197,Huntington
198,Just Us
199,Regency Trace
200,Arlington Estates
201,Bankhead Courts
202,Sherwood Forest
203,Ridgedale Park
204,Colonial Homes
205,Cascade Green
206,Audobon Forest West
207,Chalet Woods
208,Atkins Park
209,Whitewater Creek
210,Mt. Paran/Northside
211,Wyngate
212,Ridgecrest Forest
213,Greenbriar Village
214,Tampa Park
215,Ivan Hill
216,Rue Royal
217,Briar Glen
218,Meadowbrook Forest
219,Collier Hills
220,Rebel Valley Forest
221,Castlewood
222,Wildwood Forest
223,Mellwood
224,Magnum Manor
225,Oakcliff
